Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'rightnour' | Inverse Document Frequency: 3.5056925074122
Term: 'carnegiemellon' | Document Frequency: 2
Term: 'carnegiemellon' | Inverse Document Frequency: 3.204662511748219
Term: 'g21' | Document Frequency: 1
Term: 'g21' | Inverse Document Frequency: 3.5056925074122
Term: 'manageri' | Document Frequency: 1
Term: 'manageri' | Inverse Document Frequency: 3.5056925074122
Term: 'swap' | Document Frequency: 7
Term: 'swap' | Inverse Document Frequency: 2.660594467397943
Term: 'stanfel' | Document Frequency: 1
Term: 'stanfel' | Inverse Document Frequency: 3.5056925074122
Term: 'dunham' | Document Frequency: 5
Term: 'dunham' | Inverse Document Frequency: 2.8067225030761813
Term: 'is' | Document Frequency: 2
Term: 'is' | Inverse Document Frequency: 3.204662511748219
Term: '421' | Document Frequency: 10
Term: '421' | Inverse Document Frequency: 2.5056925074122
Term: '520' | Document Frequency: 5
Term: '520' | Inverse Document Frequency: 2.8067225030761813
Term: '521' | Document Frequency: 23
Term: '521' | Inverse Document Frequency: 2.143964671394607
Term: 'pursuanc' | Document Frequency: 1
Term: 'pursuanc' | Inverse Document Frequency: 3.5056925074122
Term: 'iitran' | Document Frequency: 1
Term: 'iitran' | Inverse Document Frequency: 3.5056925074122
Term: 'dewar' | Document Frequency: 3
Term: 'dewar' | Inverse Document Frequency: 3.0285712526925375
Term: 'hochsprung' | Document Frequency: 1
Term: 'hochsprung' | Inverse Document Frequency: 3.5056925074122
Term: '345' | Document Frequency: 2
Term: '345' | Inverse Document Frequency: 3.204662511748219
Term: 'auto' | Document Frequency: 2
Term: 'auto' | Inverse Document Frequency: 3.204662511748219
Term: 'crosscorrel' | Document Frequency: 3
Term: 'crosscorrel' | Inverse Document Frequency: 3.0285712526925375
Term: '358' | Document Frequency: 1
Term: '358' | Inverse Document Frequency: 3.5056925074122
Term: 'pseudoinvers' | Document Frequency: 2
Term: 'pseudoinvers' | Inverse Document Frequency: 3.204662511748219
Term: '357' | Document Frequency: 7
Term: '357' | Inverse Document Frequency: 2.660594467397943
Term: '356' | Document Frequency: 2
Term: '356' | Inverse Document Frequency: 3.204662511748219
Term: '355' | Document Frequency: 3
Term: '355' | Inverse Document Frequency: 3.0285712526925375
Term: 'richman' | Document Frequency: 3
Term: 'richman' | Inverse Document Frequency: 3.0285712526925375
Term: '632' | Document Frequency: 9
Term: '632' | Inverse Document Frequency: 2.5514499979728753
Term: 'rstate' | Document Frequency: 1
Term: 'rstate' | Inverse Document Frequency: 3.5056925074122
Term: 'baskin' | Document Frequency: 1
Term: 'baskin' | Inverse Document Frequency: 3.5056925074122
Term: 'horowitz' | Document Frequency: 5
Term: 'horowitz' | Inverse Document Frequency: 2.8067225030761813
Term: 'tennison' | Document Frequency: 1
Term: 'tennison' | Inverse Document Frequency: 3.5056925074122
Term: 'rittenhous' | Document Frequency: 1
Term: 'rittenhous' | Inverse Document Frequency: 3.5056925074122
Term: 'computershar' | Document Frequency: 1
Term: 'computershar' | Inverse Document Frequency: 3.5056925074122
Term: 'intercomput' | Document Frequency: 1
Term: 'intercomput' | Inverse Document Frequency: 3.5056925074122
Term: 'rollin' | Document Frequency: 1
Term: 'rollin' | Inverse Document Frequency: 3.5056925074122
Term: 'rollout' | Document Frequency: 1
Term: 'rollout' | Inverse Document Frequency: 3.5056925074122
Term: 'multitermin' | Document Frequency: 2
Term: 'multitermin' | Inverse Document Frequency: 3.204662511748219
Term: 'memoryprocessor' | Document Frequency: 1
Term: 'memoryprocessor' | Inverse Document Frequency: 3.5056925074122
Term: 'simplest' | Document Frequency: 1
Term: 'simplest' | Inverse Document Frequency: 3.5056925074122
Term: 'crosspoint' | Document Frequency: 1
Term: 'crosspoint' | Inverse Document Frequency: 3.5056925074122
Term: 'lanzano' | Document Frequency: 1
Term: 'lanzano' | Inverse Document Frequency: 3.5056925074122
Term: 'cdc6000' | Document Frequency: 1
Term: 'cdc6000' | Inverse Document Frequency: 3.5056925074122
Term: 'ge635' | Document Frequency: 1
Term: 'ge635' | Inverse Document Frequency: 3.5056925074122
Term: 'ibm360' | Document Frequency: 2
Term: 'ibm360' | Inverse Document Frequency: 3.204662511748219
Term: 'univac1108' | Document Frequency: 1
Term: 'univac1108' | Inverse Document Frequency: 3.5056925074122
Term: 'overlaid' | Document Frequency: 1
Term: 'overlaid' | Inverse Document Frequency: 3.5056925074122
Term: 'costeffect' | Document Frequency: 1
Term: 'costeffect' | Inverse Document Frequency: 3.5056925074122
Term: '424' | Document Frequency: 1
Term: '424' | Inverse Document Frequency: 3.5056925074122
Term: 'unfeas' | Document Frequency: 1
Term: 'unfeas' | Inverse Document Frequency: 3.5056925074122
Term: 'paton' | Document Frequency: 3
Term: 'paton' | Inverse Document Frequency: 3.0285712526925375
Term: 'unexamin' | Document Frequency: 1
Term: 'unexamin' | Inverse Document Frequency: 3.5056925074122
Term: 'await' | Document Frequency: 1
Term: 'await' | Inverse Document Frequency: 3.5056925074122
Term: 'creas' | Document Frequency: 1
Term: 'creas' | Inverse Document Frequency: 3.5056925074122
Term: 'ng' | Document Frequency: 3
Term: 'ng' | Inverse Document Frequency: 3.0285712526925375
Term: 'testsshow' | Document Frequency: 1
Term: 'testsshow' | Inverse Document Frequency: 3.5056925074122
Term: 'silverman' | Document Frequency: 1
Term: 'silverman' | Inverse Document Frequency: 3.5056925074122
Term: 'leitch' | Document Frequency: 1
Term: 'leitch' | Inverse Document Frequency: 3.5056925074122
Term: '354' | Document Frequency: 2
Term: '354' | Inverse Document Frequency: 3.204662511748219
Term: 'orgass' | Document Frequency: 1
Term: 'orgass' | Inverse Document Frequency: 3.5056925074122
Term: 'manweek' | Document Frequency: 2
Term: 'manweek' | Inverse Document Frequency: 3.204662511748219
Term: 'reclam' | Document Frequency: 6
Term: 'reclam' | Inverse Document Frequency: 2.727541257028556
Term: '349' | Document Frequency: 4
Term: '349' | Inverse Document Frequency: 2.9036325160842376
Term: 'swym' | Document Frequency: 1
Term: 'swym' | Inverse Document Frequency: 3.5056925074122
Term: 'collector' | Document Frequency: 10
Term: 'collector' | Inverse Document Frequency: 2.5056925074122
Term: 'listcompact' | Document Frequency: 3
Term: 'listcompact' | Inverse Document Frequency: 3.0285712526925375
Term: 'pl360' | Document Frequency: 1
Term: 'pl360' | Inverse Document Frequency: 3.5056925074122
Term: 'potent' | Document Frequency: 1
Term: 'potent' | Inverse Document Frequency: 3.5056925074122
Term: 'pseudoconcurr' | Document Frequency: 1
Term: 'pseudoconcurr' | Inverse Document Frequency: 3.5056925074122
Term: 'supposedli' | Document Frequency: 2
Term: 'supposedli' | Inverse Document Frequency: 3.204662511748219
Term: 'perspicu' | Document Frequency: 2
Term: 'perspicu' | Inverse Document Frequency: 3.204662511748219
Term: 'psycholinguist' | Document Frequency: 1
Term: 'psycholinguist' | Inverse Document Frequency: 3.5056925074122
Term: 'teachabl' | Document Frequency: 1
Term: 'teachabl' | Inverse Document Frequency: 3.5056925074122
Term: 'comprehend' | Document Frequency: 2
Term: 'comprehend' | Inverse Document Frequency: 3.204662511748219
Term: 'quillian' | Document Frequency: 2
Term: 'quillian' | Inverse Document Frequency: 3.204662511748219
Term: 'tlc' | Document Frequency: 2
Term: 'tlc' | Inverse Document Frequency: 3.204662511748219
Term: 'taught' | Document Frequency: 2
Term: 'taught' | Inverse Document Frequency: 3.204662511748219
Term: 'chase' | Document Frequency: 7
Term: 'chase' | Inverse Document Frequency: 2.660594467397943
Term: 'fosdick' | Document Frequency: 4
Term: 'fosdick' | Inverse Document Frequency: 2.9036325160842376
Term: 'quintic' | Document Frequency: 2
Term: 'quintic' | Inverse Document Frequency: 3.204662511748219
Term: 'spline' | Document Frequency: 18
Term: 'spline' | Inverse Document Frequency: 2.250420002308894
Term: 'sixth' | Document Frequency: 1
Term: 'sixth' | Inverse Document Frequency: 3.5056925074122
Term: 'mesh' | Document Frequency: 3
Term: 'mesh' | Inverse Document Frequency: 3.0285712526925375
Term: 'hashcod' | Document Frequency: 3
Term: 'hashcod' | Inverse Document Frequency: 3.0285712526925375
Term: 'argentin' | Document Frequency: 1
Term: 'argentin' | Inverse Document Frequency: 3.5056925074122
Term: 'chilean' | Document Frequency: 1
Term: 'chilean' | Inverse Document Frequency: 3.5056925074122
Term: 'universitystud' | Document Frequency: 1
Term: 'universitystud' | Inverse Document Frequency: 3.5056925074122
Term: 'south' | Document Frequency: 1
Term: 'south' | Inverse Document Frequency: 3.5056925074122
Term: 'argentina' | Document Frequency: 1
Term: 'argentina' | Inverse Document Frequency: 3.5056925074122
Term: 'chile' | Document Frequency: 1
Term: 'chile' | Inverse Document Frequency: 3.5056925074122
Term: 'discont' | Document Frequency: 1
Term: 'discont' | Inverse Document Frequency: 3.5056925074122
Term: 'quo' | Document Frequency: 1
Term: 'quo' | Inverse Document Frequency: 3.5056925074122
Term: '36040' | Document Frequency: 1
Term: '36040' | Inverse Document Frequency: 3.5056925074122
Term: 'strive' | Document Frequency: 1
Term: 'strive' | Inverse Document Frequency: 3.5056925074122
Term: 'consciou' | Document Frequency: 1
Term: 'consciou' | Inverse Document Frequency: 3.5056925074122
Term: 'strengthen' | Document Frequency: 2
Term: 'strengthen' | Inverse Document Frequency: 3.204662511748219
Term: 'retard' | Document Frequency: 2
Term: 'retard' | Inverse Document Frequency: 3.204662511748219
Term: 'messham' | Document Frequency: 1
Term: 'messham' | Inverse Document Frequency: 3.5056925074122
Term: 'sauer' | Document Frequency: 2
Term: 'sauer' | Inverse Document Frequency: 3.204662511748219
Term: 'mathieu' | Document Frequency: 3
Term: 'mathieu' | Inverse Document Frequency: 3.0285712526925375
Term: '352' | Document Frequency: 9
Term: '352' | Inverse Document Frequency: 2.5514499979728753
Term: 'clemm' | Document Frequency: 1
Term: 'clemm' | Inverse Document Frequency: 3.5056925074122
Term: 'hooker' | Document Frequency: 1
Term: 'hooker' | Inverse Document Frequency: 3.5056925074122
Term: 'meromorph' | Document Frequency: 1
Term: 'meromorph' | Inverse Document Frequency: 3.5056925074122
Term: 'complexvari' | Document Frequency: 1
Term: 'complexvari' | Inverse Document Frequency: 3.5056925074122
Term: '26662' | Document Frequency: 1
Term: '26662' | Inverse Document Frequency: 3.5056925074122
Term: 'disappear' | Document Frequency: 2
Term: 'disappear' | Inverse Document Frequency: 3.204662511748219
Term: '1bit' | Document Frequency: 1
Term: '1bit' | Inverse Document Frequency: 3.5056925074122
Term: 'cottafava' | Document Frequency: 1
Term: 'cottafava' | Inverse Document Frequency: 3.5056925074122
Term: 'lemoli' | Document Frequency: 1
Term: 'lemoli' | Inverse Document Frequency: 3.5056925074122
Term: 'istituto' | Document Frequency: 1
Term: 'istituto' | Inverse Document Frequency: 3.5056925074122
Term: 'di' | Document Frequency: 1
Term: 'di' | Inverse Document Frequency: 3.5056925074122
Term: 'elettrotecnica' | Document Frequency: 1
Term: 'elettrotecnica' | Inverse Document Frequency: 3.5056925074122
Term: 'ed' | Document Frequency: 2
Term: 'ed' | Inverse Document Frequency: 3.204662511748219
Term: 'elettronica' | Document Frequency: 1
Term: 'elettronica' | Inverse Document Frequency: 3.5056925074122
Term: 'politencnico' | Document Frequency: 1
Term: 'politencnico' | Inverse Document Frequency: 3.5056925074122
Term: 'milano' | Document Frequency: 1
Term: 'milano' | Inverse Document Frequency: 3.5056925074122
Term: 'errata' | Document Frequency: 5
Term: 'errata' | Inverse Document Frequency: 2.8067225030761813
Term: 'hemmerl' | Document Frequency: 1
Term: 'hemmerl' | Inverse Document Frequency: 3.5056925074122
Term: 'twice' | Document Frequency: 8
Term: 'twice' | Inverse Document Frequency: 2.6026025204202563
Term: 'amo' | Document Frequency: 1
Term: 'amo' | Inverse Document Frequency: 3.5056925074122
Term: 'slater' | Document Frequency: 1
Term: 'slater' | Inverse Document Frequency: 3.5056925074122
Term: 'concav' | Document Frequency: 2
Term: 'concav' | Inverse Document Frequency: 3.204662511748219
Term: 'schneider' | Document Frequency: 4
Term: 'schneider' | Inverse Document Frequency: 2.9036325160842376
Term: 'habermann' | Document Frequency: 5
Term: 'habermann' | Inverse Document Frequency: 2.8067225030761813
Term: 'occas' | Document Frequency: 1
Term: 'occas' | Inverse Document Frequency: 3.5056925074122
Term: 'safe' | Document Frequency: 7
Term: 'safe' | Inverse Document Frequency: 2.660594467397943
Term: 'referencecountbas' | Document Frequency: 1
Term: 'referencecountbas' | Inverse Document Frequency: 3.5056925074122
Term: 'spacerecoveri' | Document Frequency: 1
Term: 'spacerecoveri' | Inverse Document Frequency: 3.5056925074122
Term: 'lisplik' | Document Frequency: 3
Term: 'lisplik' | Inverse Document Frequency: 3.0285712526925375
Term: 'impedi' | Document Frequency: 1
Term: 'impedi' | Inverse Document Frequency: 3.5056925074122
Term: 'reachabl' | Document Frequency: 4
Term: 'reachabl' | Inverse Document Frequency: 2.9036325160842376
Term: 'listcreat' | Document Frequency: 1
Term: 'listcreat' | Inverse Document Frequency: 3.5056925074122
Term: 'coexist' | Document Frequency: 1
Term: 'coexist' | Inverse Document Frequency: 3.5056925074122
Term: 'accompani' | Document Frequency: 3
Term: 'accompani' | Inverse Document Frequency: 3.0285712526925375
Term: 'macleod' | Document Frequency: 3
Term: 'macleod' | Inverse Document Frequency: 3.0285712526925375
Term: 'duke' | Document Frequency: 1
Term: 'duke' | Inverse Document Frequency: 3.5056925074122
Term: 'fair' | Document Frequency: 2
Term: 'fair' | Inverse Document Frequency: 3.204662511748219
Term: 'weather' | Document Frequency: 1
Term: 'weather' | Inverse Document Frequency: 3.5056925074122
Term: 'rectangl' | Document Frequency: 6
Term: 'rectangl' | Inverse Document Frequency: 2.727541257028556
Term: 'anomali' | Document Frequency: 6
Term: 'anomali' | Inverse Document Frequency: 2.727541257028556
Term: 'spacetim' | Document Frequency: 4
Term: 'spacetim' | Inverse Document Frequency: 2.9036325160842376
Term: 'reveal' | Document Frequency: 18
Term: 'reveal' | Inverse Document Frequency: 2.250420002308894
Term: 'anomal' | Document Frequency: 3
Term: 'anomal' | Inverse Document Frequency: 3.0285712526925375
Term: 'fifo' | Document Frequency: 2
Term: 'fifo' | Inverse Document Frequency: 3.204662511748219
Term: 'innov' | Document Frequency: 5
Term: 'innov' | Inverse Document Frequency: 2.8067225030761813
Term: 'pentadiagon' | Document Frequency: 1
Term: 'pentadiagon' | Inverse Document Frequency: 3.5056925074122
Term: 'sweet' | Document Frequency: 1
Term: 'sweet' | Inverse Document Frequency: 3.5056925074122
Term: 'quindiagon' | Document Frequency: 1
Term: 'quindiagon' | Inverse Document Frequency: 3.5056925074122
Term: 'band' | Document Frequency: 4
Term: 'band' | Inverse Document Frequency: 2.9036325160842376
Term: 'blue' | Document Frequency: 1
Term: 'blue' | Inverse Document Frequency: 3.5056925074122
Term: 'nonuniform' | Document Frequency: 3
Term: 'nonuniform' | Inverse Document Frequency: 3.0285712526925375
Term: 'h4' | Document Frequency: 1
Term: 'h4' | Inverse Document Frequency: 3.5056925074122
Term: 'numerov' | Document Frequency: 1
Term: 'numerov' | Inverse Document Frequency: 3.5056925074122
Term: 'galli' | Document Frequency: 1
